timestamp,symbol,side,qty,price,amount,source
MSFT,buy,6.0,476.47,2858.82,2025-06-17 13:30:34
MSFT,buy,5.0,476.19,2380.95,2025-06-17 13:30:30
MSFT,buy,2.0,476.2,952.4,2025-06-17 13:30:15
AAPL,buy,20.0,199.7,3994.0,2025-06-13 13:30:42
AAPL,buy,142.0,199.48,28326.16,2025-06-13 13:30:34
AAPL,buy,35.0,199.44,6980.4,2025-06-13 13:30:26
GOOG,buy,10.0,174.84,1748.4,2025-06-13 13:30:17
AAPL,buy,401.0,198.49,79594.49,2025-06-12 14:20:44
TSLA,sell,63.0,324.34,20433.42,2025-06-12 13:30:22
AAPL,sell,199.0,199.13,39626.87,2025-06-12 13:30:19
TSLA,sell,58.0,323.91,18786.780000000002,2025-06-12 13:30:07
AAPL,sell,198.0,199.13,39427.74,2025-06-12 13:30:04
AAPL,buy,64.0,200.42,12826.88,2025-06-11 16:39:29
AAPL,buy,63.0,200.44,12627.72,2025-06-11 16:39:29
AAPL,buy,73.0,200.44,14632.119999999999,2025-06-11 16:39:29
TSLA,buy,1.0,329.09,329.09,2025-06-11 16:36:03
TSLA,buy,13.0,329.09,4278.17,2025-06-11 16:36:02
TSLA,buy,108.0,329.09,35541.719999999994,2025-06-11 16:36:02
AAPL,buy,95.0,203.29,19312.55,2025-06-11 13:30:36
AAPL,buy,104.0,203.0,21112.0,2025-06-11 13:30:17
MSFT,buy,58.0,468.6,27178.800000000003,2025-06-10 15:50:33
TSLA,buy,7.0,302.34,2116.3799999999997,2025-06-09 19:28:10
TSLA,buy,3.0,302.33,906.99,2025-06-09 19:28:10
MSFT,buy,1.0,473.31,473.31,2025-06-09 19:24:50
MSFT,buy,9.0,473.31,4259.79,2025-06-09 19:24:50
TSLA,buy,10.0,302.15,3021.5,2025-06-09 19:24:39
TSLA,buy,10.0,302.05,3020.5,2025-06-09 19:24:29
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:19
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:18
AAPL,buy,8.0,204.64,1637.12,2025-06-09 16:50:18
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
MSFT,buy,8.0,470.96,3767.68,2025-06-09 16:33:15
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:21
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,6.0,319.03,1914.1799999999998,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,50.0,307.6,15380.000000000002,2025-06-25 18:40:34
MSFT,buy,6.0,476.47,2858.82,2025-06-17 13:30:34
MSFT,buy,5.0,476.19,2380.95,2025-06-17 13:30:30
MSFT,buy,2.0,476.2,952.4,2025-06-17 13:30:15
AAPL,buy,20.0,199.7,3994.0,2025-06-13 13:30:42
AAPL,buy,142.0,199.48,28326.16,2025-06-13 13:30:34
AAPL,buy,35.0,199.44,6980.4,2025-06-13 13:30:26
GOOG,buy,10.0,174.84,1748.4,2025-06-13 13:30:17
AAPL,buy,401.0,198.49,79594.49,2025-06-12 14:20:44
TSLA,sell,63.0,324.34,20433.42,2025-06-12 13:30:22
AAPL,sell,199.0,199.13,39626.87,2025-06-12 13:30:19
TSLA,sell,58.0,323.91,18786.780000000002,2025-06-12 13:30:07
AAPL,sell,198.0,199.13,39427.74,2025-06-12 13:30:04
AAPL,buy,64.0,200.42,12826.88,2025-06-11 16:39:29
AAPL,buy,63.0,200.44,12627.72,2025-06-11 16:39:29
AAPL,buy,73.0,200.44,14632.119999999999,2025-06-11 16:39:29
TSLA,buy,1.0,329.09,329.09,2025-06-11 16:36:03
TSLA,buy,13.0,329.09,4278.17,2025-06-11 16:36:02
TSLA,buy,108.0,329.09,35541.719999999994,2025-06-11 16:36:02
AAPL,buy,95.0,203.29,19312.55,2025-06-11 13:30:36
AAPL,buy,104.0,203.0,21112.0,2025-06-11 13:30:17
MSFT,buy,58.0,468.6,27178.800000000003,2025-06-10 15:50:33
TSLA,buy,7.0,302.34,2116.3799999999997,2025-06-09 19:28:10
TSLA,buy,3.0,302.33,906.99,2025-06-09 19:28:10
MSFT,buy,1.0,473.31,473.31,2025-06-09 19:24:50
MSFT,buy,9.0,473.31,4259.79,2025-06-09 19:24:50
TSLA,buy,10.0,302.15,3021.5,2025-06-09 19:24:39
TSLA,buy,10.0,302.05,3020.5,2025-06-09 19:24:29
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:19
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:18
AAPL,buy,8.0,204.64,1637.12,2025-06-09 16:50:18
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
MSFT,buy,8.0,470.96,3767.68,2025-06-09 16:33:15
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:21
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,6.0,319.03,1914.1799999999998,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,50.0,307.6,15380.000000000002,2025-06-25 18:40:34
MSFT,buy,6.0,476.47,2858.82,2025-06-17 13:30:34
MSFT,buy,5.0,476.19,2380.95,2025-06-17 13:30:30
MSFT,buy,2.0,476.2,952.4,2025-06-17 13:30:15
AAPL,buy,20.0,199.7,3994.0,2025-06-13 13:30:42
AAPL,buy,142.0,199.48,28326.16,2025-06-13 13:30:34
AAPL,buy,35.0,199.44,6980.4,2025-06-13 13:30:26
GOOG,buy,10.0,174.84,1748.4,2025-06-13 13:30:17
AAPL,buy,401.0,198.49,79594.49,2025-06-12 14:20:44
TSLA,sell,63.0,324.34,20433.42,2025-06-12 13:30:22
AAPL,sell,199.0,199.13,39626.87,2025-06-12 13:30:19
TSLA,sell,58.0,323.91,18786.780000000002,2025-06-12 13:30:07
AAPL,sell,198.0,199.13,39427.74,2025-06-12 13:30:04
AAPL,buy,64.0,200.42,12826.88,2025-06-11 16:39:29
AAPL,buy,63.0,200.44,12627.72,2025-06-11 16:39:29
AAPL,buy,73.0,200.44,14632.119999999999,2025-06-11 16:39:29
TSLA,buy,1.0,329.09,329.09,2025-06-11 16:36:03
TSLA,buy,13.0,329.09,4278.17,2025-06-11 16:36:02
TSLA,buy,108.0,329.09,35541.719999999994,2025-06-11 16:36:02
AAPL,buy,95.0,203.29,19312.55,2025-06-11 13:30:36
AAPL,buy,104.0,203.0,21112.0,2025-06-11 13:30:17
MSFT,buy,58.0,468.6,27178.800000000003,2025-06-10 15:50:33
TSLA,buy,7.0,302.34,2116.3799999999997,2025-06-09 19:28:10
TSLA,buy,3.0,302.33,906.99,2025-06-09 19:28:10
MSFT,buy,1.0,473.31,473.31,2025-06-09 19:24:50
MSFT,buy,9.0,473.31,4259.79,2025-06-09 19:24:50
TSLA,buy,10.0,302.15,3021.5,2025-06-09 19:24:39
TSLA,buy,10.0,302.05,3020.5,2025-06-09 19:24:29
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:19
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:18
AAPL,buy,8.0,204.64,1637.12,2025-06-09 16:50:18
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
MSFT,buy,8.0,470.96,3767.68,2025-06-09 16:33:15
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:21
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,6.0,319.03,1914.1799999999998,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,50.0,307.6,15380.000000000002,2025-06-25 18:40:34
MSFT,buy,6.0,476.47,2858.82,2025-06-17 13:30:34
MSFT,buy,5.0,476.19,2380.95,2025-06-17 13:30:30
MSFT,buy,2.0,476.2,952.4,2025-06-17 13:30:15
AAPL,buy,20.0,199.7,3994.0,2025-06-13 13:30:42
AAPL,buy,142.0,199.48,28326.16,2025-06-13 13:30:34
AAPL,buy,35.0,199.44,6980.4,2025-06-13 13:30:26
GOOG,buy,10.0,174.84,1748.4,2025-06-13 13:30:17
AAPL,buy,401.0,198.49,79594.49,2025-06-12 14:20:44
TSLA,sell,63.0,324.34,20433.42,2025-06-12 13:30:22
AAPL,sell,199.0,199.13,39626.87,2025-06-12 13:30:19
TSLA,sell,58.0,323.91,18786.780000000002,2025-06-12 13:30:07
AAPL,sell,198.0,199.13,39427.74,2025-06-12 13:30:04
AAPL,buy,64.0,200.42,12826.88,2025-06-11 16:39:29
AAPL,buy,63.0,200.44,12627.72,2025-06-11 16:39:29
AAPL,buy,73.0,200.44,14632.119999999999,2025-06-11 16:39:29
TSLA,buy,1.0,329.09,329.09,2025-06-11 16:36:03
TSLA,buy,13.0,329.09,4278.17,2025-06-11 16:36:02
TSLA,buy,108.0,329.09,35541.719999999994,2025-06-11 16:36:02
AAPL,buy,95.0,203.29,19312.55,2025-06-11 13:30:36
AAPL,buy,104.0,203.0,21112.0,2025-06-11 13:30:17
MSFT,buy,58.0,468.6,27178.800000000003,2025-06-10 15:50:33
TSLA,buy,7.0,302.34,2116.3799999999997,2025-06-09 19:28:10
TSLA,buy,3.0,302.33,906.99,2025-06-09 19:28:10
MSFT,buy,1.0,473.31,473.31,2025-06-09 19:24:50
MSFT,buy,9.0,473.31,4259.79,2025-06-09 19:24:50
TSLA,buy,10.0,302.15,3021.5,2025-06-09 19:24:39
TSLA,buy,10.0,302.05,3020.5,2025-06-09 19:24:29
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:19
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:18
AAPL,buy,8.0,204.64,1637.12,2025-06-09 16:50:18
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
MSFT,buy,8.0,470.96,3767.68,2025-06-09 16:33:15
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:21
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,6.0,319.03,1914.1799999999998,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,50.0,307.6,15380.000000000002,2025-06-25 18:40:34
MSFT,buy,6.0,476.47,2858.82,2025-06-17 13:30:34
MSFT,buy,5.0,476.19,2380.95,2025-06-17 13:30:30
MSFT,buy,2.0,476.2,952.4,2025-06-17 13:30:15
AAPL,buy,20.0,199.7,3994.0,2025-06-13 13:30:42
AAPL,buy,142.0,199.48,28326.16,2025-06-13 13:30:34
AAPL,buy,35.0,199.44,6980.4,2025-06-13 13:30:26
GOOG,buy,10.0,174.84,1748.4,2025-06-13 13:30:17
AAPL,buy,401.0,198.49,79594.49,2025-06-12 14:20:44
TSLA,sell,63.0,324.34,20433.42,2025-06-12 13:30:22
AAPL,sell,199.0,199.13,39626.87,2025-06-12 13:30:19
TSLA,sell,58.0,323.91,18786.780000000002,2025-06-12 13:30:07
AAPL,sell,198.0,199.13,39427.74,2025-06-12 13:30:04
AAPL,buy,64.0,200.42,12826.88,2025-06-11 16:39:29
AAPL,buy,63.0,200.44,12627.72,2025-06-11 16:39:29
AAPL,buy,73.0,200.44,14632.119999999999,2025-06-11 16:39:29
TSLA,buy,1.0,329.09,329.09,2025-06-11 16:36:03
TSLA,buy,13.0,329.09,4278.17,2025-06-11 16:36:02
TSLA,buy,108.0,329.09,35541.719999999994,2025-06-11 16:36:02
AAPL,buy,95.0,203.29,19312.55,2025-06-11 13:30:36
AAPL,buy,104.0,203.0,21112.0,2025-06-11 13:30:17
MSFT,buy,58.0,468.6,27178.800000000003,2025-06-10 15:50:33
TSLA,buy,7.0,302.34,2116.3799999999997,2025-06-09 19:28:10
TSLA,buy,3.0,302.33,906.99,2025-06-09 19:28:10
MSFT,buy,1.0,473.31,473.31,2025-06-09 19:24:50
MSFT,buy,9.0,473.31,4259.79,2025-06-09 19:24:50
TSLA,buy,10.0,302.15,3021.5,2025-06-09 19:24:39
TSLA,buy,10.0,302.05,3020.5,2025-06-09 19:24:29
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:19
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:18
AAPL,buy,8.0,204.64,1637.12,2025-06-09 16:50:18
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
MSFT,buy,8.0,470.96,3767.68,2025-06-09 16:33:15
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:21
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,6.0,319.03,1914.1799999999998,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,50.0,307.6,15380.000000000002,2025-06-25 18:40:34
MSFT,buy,6.0,476.47,2858.82,2025-06-17 13:30:34
MSFT,buy,5.0,476.19,2380.95,2025-06-17 13:30:30
MSFT,buy,2.0,476.2,952.4,2025-06-17 13:30:15
AAPL,buy,20.0,199.7,3994.0,2025-06-13 13:30:42
AAPL,buy,142.0,199.48,28326.16,2025-06-13 13:30:34
AAPL,buy,35.0,199.44,6980.4,2025-06-13 13:30:26
GOOG,buy,10.0,174.84,1748.4,2025-06-13 13:30:17
AAPL,buy,401.0,198.49,79594.49,2025-06-12 14:20:44
TSLA,sell,63.0,324.34,20433.42,2025-06-12 13:30:22
AAPL,sell,199.0,199.13,39626.87,2025-06-12 13:30:19
TSLA,sell,58.0,323.91,18786.780000000002,2025-06-12 13:30:07
AAPL,sell,198.0,199.13,39427.74,2025-06-12 13:30:04
AAPL,buy,64.0,200.42,12826.88,2025-06-11 16:39:29
AAPL,buy,63.0,200.44,12627.72,2025-06-11 16:39:29
AAPL,buy,73.0,200.44,14632.119999999999,2025-06-11 16:39:29
TSLA,buy,1.0,329.09,329.09,2025-06-11 16:36:03
TSLA,buy,13.0,329.09,4278.17,2025-06-11 16:36:02
TSLA,buy,108.0,329.09,35541.719999999994,2025-06-11 16:36:02
AAPL,buy,95.0,203.29,19312.55,2025-06-11 13:30:36
AAPL,buy,104.0,203.0,21112.0,2025-06-11 13:30:17
MSFT,buy,58.0,468.6,27178.800000000003,2025-06-10 15:50:33
TSLA,buy,7.0,302.34,2116.3799999999997,2025-06-09 19:28:10
TSLA,buy,3.0,302.33,906.99,2025-06-09 19:28:10
MSFT,buy,1.0,473.31,473.31,2025-06-09 19:24:50
MSFT,buy,9.0,473.31,4259.79,2025-06-09 19:24:50
TSLA,buy,10.0,302.15,3021.5,2025-06-09 19:24:39
TSLA,buy,10.0,302.05,3020.5,2025-06-09 19:24:29
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:19
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:18
AAPL,buy,8.0,204.64,1637.12,2025-06-09 16:50:18
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
MSFT,buy,8.0,470.96,3767.68,2025-06-09 16:33:15
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:21
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,6.0,319.03,1914.1799999999998,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,50.0,307.6,15380.000000000002,2025-06-25 18:40:34
MSFT,buy,6.0,476.47,2858.82,2025-06-17 13:30:34
MSFT,buy,5.0,476.19,2380.95,2025-06-17 13:30:30
MSFT,buy,2.0,476.2,952.4,2025-06-17 13:30:15
AAPL,buy,20.0,199.7,3994.0,2025-06-13 13:30:42
AAPL,buy,142.0,199.48,28326.16,2025-06-13 13:30:34
AAPL,buy,35.0,199.44,6980.4,2025-06-13 13:30:26
GOOG,buy,10.0,174.84,1748.4,2025-06-13 13:30:17
AAPL,buy,401.0,198.49,79594.49,2025-06-12 14:20:44
TSLA,sell,63.0,324.34,20433.42,2025-06-12 13:30:22
AAPL,sell,199.0,199.13,39626.87,2025-06-12 13:30:19
TSLA,sell,58.0,323.91,18786.780000000002,2025-06-12 13:30:07
AAPL,sell,198.0,199.13,39427.74,2025-06-12 13:30:04
AAPL,buy,64.0,200.42,12826.88,2025-06-11 16:39:29
AAPL,buy,63.0,200.44,12627.72,2025-06-11 16:39:29
AAPL,buy,73.0,200.44,14632.119999999999,2025-06-11 16:39:29
TSLA,buy,1.0,329.09,329.09,2025-06-11 16:36:03
TSLA,buy,13.0,329.09,4278.17,2025-06-11 16:36:02
TSLA,buy,108.0,329.09,35541.719999999994,2025-06-11 16:36:02
AAPL,buy,95.0,203.29,19312.55,2025-06-11 13:30:36
AAPL,buy,104.0,203.0,21112.0,2025-06-11 13:30:17
MSFT,buy,58.0,468.6,27178.800000000003,2025-06-10 15:50:33
TSLA,buy,7.0,302.34,2116.3799999999997,2025-06-09 19:28:10
TSLA,buy,3.0,302.33,906.99,2025-06-09 19:28:10
MSFT,buy,1.0,473.31,473.31,2025-06-09 19:24:50
MSFT,buy,9.0,473.31,4259.79,2025-06-09 19:24:50
TSLA,buy,10.0,302.15,3021.5,2025-06-09 19:24:39
TSLA,buy,10.0,302.05,3020.5,2025-06-09 19:24:29
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:19
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:18
AAPL,buy,8.0,204.64,1637.12,2025-06-09 16:50:18
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
MSFT,buy,8.0,470.96,3767.68,2025-06-09 16:33:15
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:21
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,6.0,319.03,1914.1799999999998,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,50.0,307.6,15380.000000000002,2025-06-25 18:40:34
MSFT,buy,6.0,476.47,2858.82,2025-06-17 13:30:34
MSFT,buy,5.0,476.19,2380.95,2025-06-17 13:30:30
MSFT,buy,2.0,476.2,952.4,2025-06-17 13:30:15
AAPL,buy,20.0,199.7,3994.0,2025-06-13 13:30:42
AAPL,buy,142.0,199.48,28326.16,2025-06-13 13:30:34
AAPL,buy,35.0,199.44,6980.4,2025-06-13 13:30:26
GOOG,buy,10.0,174.84,1748.4,2025-06-13 13:30:17
AAPL,buy,401.0,198.49,79594.49,2025-06-12 14:20:44
TSLA,sell,63.0,324.34,20433.42,2025-06-12 13:30:22
AAPL,sell,199.0,199.13,39626.87,2025-06-12 13:30:19
TSLA,sell,58.0,323.91,18786.780000000002,2025-06-12 13:30:07
AAPL,sell,198.0,199.13,39427.74,2025-06-12 13:30:04
AAPL,buy,64.0,200.42,12826.88,2025-06-11 16:39:29
AAPL,buy,63.0,200.44,12627.72,2025-06-11 16:39:29
AAPL,buy,73.0,200.44,14632.119999999999,2025-06-11 16:39:29
TSLA,buy,1.0,329.09,329.09,2025-06-11 16:36:03
TSLA,buy,13.0,329.09,4278.17,2025-06-11 16:36:02
TSLA,buy,108.0,329.09,35541.719999999994,2025-06-11 16:36:02
AAPL,buy,95.0,203.29,19312.55,2025-06-11 13:30:36
AAPL,buy,104.0,203.0,21112.0,2025-06-11 13:30:17
MSFT,buy,58.0,468.6,27178.800000000003,2025-06-10 15:50:33
TSLA,buy,7.0,302.34,2116.3799999999997,2025-06-09 19:28:10
TSLA,buy,3.0,302.33,906.99,2025-06-09 19:28:10
MSFT,buy,1.0,473.31,473.31,2025-06-09 19:24:50
MSFT,buy,9.0,473.31,4259.79,2025-06-09 19:24:50
TSLA,buy,10.0,302.15,3021.5,2025-06-09 19:24:39
TSLA,buy,10.0,302.05,3020.5,2025-06-09 19:24:29
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:19
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:18
AAPL,buy,8.0,204.64,1637.12,2025-06-09 16:50:18
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
MSFT,buy,8.0,470.96,3767.68,2025-06-09 16:33:15
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:21
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,6.0,319.03,1914.1799999999998,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,50.0,307.6,15380.000000000002,2025-06-25 18:40:34
MSFT,buy,6.0,476.47,2858.82,2025-06-17 13:30:34
MSFT,buy,5.0,476.19,2380.95,2025-06-17 13:30:30
MSFT,buy,2.0,476.2,952.4,2025-06-17 13:30:15
AAPL,buy,20.0,199.7,3994.0,2025-06-13 13:30:42
AAPL,buy,142.0,199.48,28326.16,2025-06-13 13:30:34
AAPL,buy,35.0,199.44,6980.4,2025-06-13 13:30:26
GOOG,buy,10.0,174.84,1748.4,2025-06-13 13:30:17
AAPL,buy,401.0,198.49,79594.49,2025-06-12 14:20:44
TSLA,sell,63.0,324.34,20433.42,2025-06-12 13:30:22
AAPL,sell,199.0,199.13,39626.87,2025-06-12 13:30:19
TSLA,sell,58.0,323.91,18786.780000000002,2025-06-12 13:30:07
AAPL,sell,198.0,199.13,39427.74,2025-06-12 13:30:04
AAPL,buy,64.0,200.42,12826.88,2025-06-11 16:39:29
AAPL,buy,63.0,200.44,12627.72,2025-06-11 16:39:29
AAPL,buy,73.0,200.44,14632.119999999999,2025-06-11 16:39:29
TSLA,buy,1.0,329.09,329.09,2025-06-11 16:36:03
TSLA,buy,13.0,329.09,4278.17,2025-06-11 16:36:02
TSLA,buy,108.0,329.09,35541.719999999994,2025-06-11 16:36:02
AAPL,buy,95.0,203.29,19312.55,2025-06-11 13:30:36
AAPL,buy,104.0,203.0,21112.0,2025-06-11 13:30:17
MSFT,buy,58.0,468.6,27178.800000000003,2025-06-10 15:50:33
TSLA,buy,7.0,302.34,2116.3799999999997,2025-06-09 19:28:10
TSLA,buy,3.0,302.33,906.99,2025-06-09 19:28:10
MSFT,buy,1.0,473.31,473.31,2025-06-09 19:24:50
MSFT,buy,9.0,473.31,4259.79,2025-06-09 19:24:50
TSLA,buy,10.0,302.15,3021.5,2025-06-09 19:24:39
TSLA,buy,10.0,302.05,3020.5,2025-06-09 19:24:29
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:19
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:18
AAPL,buy,8.0,204.64,1637.12,2025-06-09 16:50:18
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
MSFT,buy,8.0,470.96,3767.68,2025-06-09 16:33:15
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:21
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,6.0,319.03,1914.1799999999998,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,50.0,307.6,15380.000000000002,2025-06-25 18:40:34
MSFT,buy,6.0,476.47,2858.82,2025-06-17 13:30:34
MSFT,buy,5.0,476.19,2380.95,2025-06-17 13:30:30
MSFT,buy,2.0,476.2,952.4,2025-06-17 13:30:15
AAPL,buy,20.0,199.7,3994.0,2025-06-13 13:30:42
AAPL,buy,142.0,199.48,28326.16,2025-06-13 13:30:34
AAPL,buy,35.0,199.44,6980.4,2025-06-13 13:30:26
GOOG,buy,10.0,174.84,1748.4,2025-06-13 13:30:17
AAPL,buy,401.0,198.49,79594.49,2025-06-12 14:20:44
TSLA,sell,63.0,324.34,20433.42,2025-06-12 13:30:22
AAPL,sell,199.0,199.13,39626.87,2025-06-12 13:30:19
TSLA,sell,58.0,323.91,18786.780000000002,2025-06-12 13:30:07
AAPL,sell,198.0,199.13,39427.74,2025-06-12 13:30:04
AAPL,buy,64.0,200.42,12826.88,2025-06-11 16:39:29
AAPL,buy,63.0,200.44,12627.72,2025-06-11 16:39:29
AAPL,buy,73.0,200.44,14632.119999999999,2025-06-11 16:39:29
TSLA,buy,1.0,329.09,329.09,2025-06-11 16:36:03
TSLA,buy,13.0,329.09,4278.17,2025-06-11 16:36:02
TSLA,buy,108.0,329.09,35541.719999999994,2025-06-11 16:36:02
AAPL,buy,95.0,203.29,19312.55,2025-06-11 13:30:36
AAPL,buy,104.0,203.0,21112.0,2025-06-11 13:30:17
MSFT,buy,58.0,468.6,27178.800000000003,2025-06-10 15:50:33
TSLA,buy,7.0,302.34,2116.3799999999997,2025-06-09 19:28:10
TSLA,buy,3.0,302.33,906.99,2025-06-09 19:28:10
MSFT,buy,1.0,473.31,473.31,2025-06-09 19:24:50
MSFT,buy,9.0,473.31,4259.79,2025-06-09 19:24:50
TSLA,buy,10.0,302.15,3021.5,2025-06-09 19:24:39
TSLA,buy,10.0,302.05,3020.5,2025-06-09 19:24:29
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:19
AAPL,buy,1.0,204.64,204.64,2025-06-09 16:50:18
AAPL,buy,8.0,204.64,1637.12,2025-06-09 16:50:18
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
MSFT,buy,8.0,470.96,3767.68,2025-06-09 16:33:15
MSFT,buy,1.0,470.96,470.96,2025-06-09 16:33:15
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:21
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,6.0,319.03,1914.1799999999998,2025-06-27 16:00:20
AXP,buy,1.0,319.03,319.03,2025-06-27 16:00:20
AXP,buy,50.0,307.6,15380.000000000002,2025-06-25 18:40:34
MSFT,buy,6.0,476.47,2858.82,2025-06-17 13:30:34
MSFT,buy,5.0,476.19,2380.95,2025-06-17 13:30:30
MSFT,buy,2.0,476.2,952.4,2025-06-17 13:30:15
AAPL,buy,20.0,199.7,3994.0,2025-06-13 13:30:42
AAPL,buy,142.0,199.48,28326.16,2025-06-13 13:30:34
AAPL,buy,35.0,199.44,6980.4,2025-06-13 13:30:26
GOOG,buy,10.0,174.84,1748.4,2025-06-13 13:30:17
AAPL,buy,401.0,198.49,79594.49,2025-06-12 14:20:44
TSLA,sell,63.0,324.34,20433.42,2025-06-12 13:30:22
AAPL,sell,199.0,199.13,39626.87,2025-06-12 13:30:19
TSLA,sell,58.0,323.91,18786.780000000002,2025-06-12 13:30:07
AAPL,sell,198.0,199.13,39427.74,2025-06-12 13:30:04
AAPL,buy,64.0,200.42,12826.88,2025-06-11 16:39:29
AAPL,buy,63.0,200.44,12627.72,2025-06-11 16:39:29
AAPL,buy,73.0,200.44,14632.119999999999,2025-06-11 16:39:29
TSLA,buy,1.0,329.09,329.09,2025-06-11 16:36:03
TSLA,buy,13.0,329.09,4278.17,2025-06-11 16:36:02
TSLA,buy,108.0,329.09,35541.719999999994,2025-06-11 16:36:02
AAPL,buy,95.0,203.29,19312.55,2025-06-11 13:30:36
